year,sex,race_cat,pop,total,prop
2033,Male,Latinx,111413,220119,0.50615
2033,Male,Multirace,16864,33362,0.50549
2033,Male,Native Hawaiian/Pacific Islander,5499,11626,0.47299
2033,Male,White,156776,315649,0.49668
2034,Female,American Indian/Alaskan Native,778,1510,0.51523
2034,Female,Asian,106794,202129,0.52835
2034,Female,Black,9818,21253,0.46196
2034,Female,Latinx,109275,221252,0.49389
2034,Female,Multirace,16681,33787,0.49371
2034,Female,Native Hawaiian/Pacific Islander,6139,11620,0.52831
2034,Female,White,158738,315394,0.5033
2034,Male,American Indian/Alaskan Native,732,1510,0.48477
2034,Male,Asian,95335,202129,0.47165
2034,Male,Black,11435,21253,0.53804
2034,Male,Latinx,111977,221252,0.50611
2034,Male,Multirace,17106,33787,0.50629
2034,Male,Native Hawaiian/Pacific Islander,5481,11620,0.47169
2034,Male,White,156656,315394,0.4967
2035,Female,American Indian/Alaskan Native,789,1521,0.51874
2035,Female,Asian,106857,202251,0.52834
2035,Female,Black,9831,21331,0.46088
2035,Female,Latinx,109755,222094,0.49418
2035,Female,Multirace,16924,34246,0.49419
2035,Female,Native Hawaiian/Pacific Islander,6143,11651,0.52725
2035,Female,White,158674,315159,0.50347
2035,Male,American Indian/Alaskan Native,732,1521,0.48126
2035,Male,Asian,95394,202251,0.47166
2035,Male,Black,11500,21331,0.53912
2035,Male,Latinx,112339,222094,0.50582
2035,Male,Multirace,17322,34246,0.50581
2035,Male,Native Hawaiian/Pacific Islander,5508,11651,0.47275
2035,Male,White,156485,315159,0.49653
2036,Female,American Indian/Alaskan Native,794,1530,0.51895
2036,Female,Asian,106886,202365,0.52818
2036,Female,Black,9829,21376,0.45981
2036,Female,Latinx,110247,223025,0.49433
2036,Female,Multirace,17145,34706,0.49401
2036,Female,Native Hawaiian/Pacific Islander,6146,11619,0.52896
2036,Female,White,158490,314752,0.50354
2036,Male,American Indian/Alaskan Native,736,1530,0.48105
2036,Male,Asian,95479,202365,0.47182
2036,Male,Black,11547,21376,0.54019
2036,Male,Latinx,112778,223025,0.50567
2036,Male,Multirace,17561,34706,0.50599
2036,Male,Native Hawaiian/Pacific Islander,5473,11619,0.47104
2036,Male,White,156262,314752,0.49646
2037,Female,American Indian/Alaskan Native,798,1552,0.51418
2037,Female,Asian,106826,202349,0.52793
2037,Female,Black,9829,21476,0.45767
2037,Female,Latinx,110686,223980,0.49418
2037,Female,Multirace,17378,35182,0.49395
2037,Female,Native Hawaiian/Pacific Islander,6158,11634,0.52931
2037,Female,White,158385,314468,0.50366
2037,Male,American Indian/Alaskan Native,754,1552,0.48582
2037,Male,Asian,95523,202349,0.47207
2037,Male,Black,11647,21476,0.54233
2037,Male,Latinx,113294,223980,0.50582
2037,Male,Multirace,17804,35182,0.50605
2037,Male,Native Hawaiian/Pacific Islander,5476,11634,0.47069
2037,Male,White,156083,314468,0.49634
2038,Female,American Indian/Alaskan Native,806,1551,0.51966
2038,Female,Asian,106804,202365,0.52778
2038,Female,Black,9816,21507,0.45641
2038,Female,Latinx,111215,224935,0.49443
2038,Female,Multirace,17609,35632,0.49419
2038,Female,Native Hawaiian/Pacific Islander,6193,11661,0.53109
2038,Female,White,158269,313993,0.50405
2038,Male,American Indian/Alaskan Native,745,1551,0.48034
2038,Male,Asian,95561,202365,0.47222
2038,Male,Black,11691,21507,0.54359
2038,Male,Latinx,113720,224935,0.50557
