year,sex,race_cat,pop,total,prop
2059,Male,Latinx,114943,230315,0.49907
2059,Male,Multirace,22336,44007,0.50756
2059,Male,Native Hawaiian/Pacific Islander,5045,10886,0.46344
2059,Male,White,148630,301795,0.49249
2060,Female,American Indian/Alaskan Native,925,1752,0.52797
2060,Female,Asian,102450,195604,0.52376
2060,Female,Black,9667,21887,0.44168
2060,Female,Latinx,115200,229900,0.50109
2060,Female,Multirace,21782,44293,0.49177
2060,Female,Native Hawaiian/Pacific Islander,5807,10815,0.53694
2060,Female,White,152905,301228,0.50761
2060,Male,American Indian/Alaskan Native,827,1752,0.47203
2060,Male,Asian,93154,195604,0.47624
2060,Male,Black,12220,21887,0.55832
2060,Male,Latinx,114700,229900,0.49891
2060,Male,Multirace,22511,44293,0.50823
2060,Male,Native Hawaiian/Pacific Islander,5008,10815,0.46306
2060,Male,White,148323,301228,0.49239
